#{"t_start": 1750331806.7716749, "env_id": "None"}
r,l,t
-4.4323654,337,62.020486
-1.396507,142,62.732238
3.1040335,209,62.986123
-1.8450818,190,63.237947
3.583569,161,63.775651
-2.6199899,480,63.875879
-4.040771,297,63.96958
-3.3883598,241,64.116825
2.224334,264,64.196819
-3.0663843,242,64.236933
4.3820734,444,64.471089
-3.1175017,189,64.509672
-3.4359303,176,64.927412
-5.63621,480,64.927472
-1.2923145,313,64.971411
0.7572359,135,65.393331
-2.9425275,440,71.335702
-4.596182,100,71.40654
-2.87758,480,71.929965
-2.5956895,247,72.128877
-2.9568582,180,72.645608
3.0656848,139,73.825167
3.0115025,129,74.116084
2.0653226,415,74.410135
0.3926755,480,74.505229
-6.5443087,345,74.946708
-3.6046174,238,75.179539
-4.0296135,314,75.43216
-2.1550486,480,75.816615
-6.3736935,368,76.664282
-6.2618046,344,76.683694
-0.11441813,480,76.898366
-6.52439,406,77.089306
2.3212082,198,77.639552
3.5497563,438,77.884512
6.1248374,480,78.008806
-7.277071,429,78.163965
-0.05745403,480,78.244189
-5.2978086,480,79.015844
-2.5367627,480,79.798742
0.9853778,182,80.213532
-11.554807,471,85.807714
-4.5030675,230,86.098588
14.763004,180,86.256592
-4.4382105,254,86.549837
-6.294474,480,86.549893
2.4017575,163,87.377933
0.6272196,78,87.638692
3.8507009,480,87.809714
-11.681501,451,88.001449
14.468133,169,88.315403
-4.2770867,339,88.331301
-1.9362332,480,88.42867
0.21313448,144,88.455264
0.43226424,293,88.862499
1.9291037,480,88.962189
-0.27125746,480,89.174255
0.51178646,195,89.189544
-4.200403,480,89.444655
-10.242707,461,89.461136
0.7731752,142,89.929314
0.016660392,132,90.673873
0.1749013,143,91.802324
-1.9436826,480,91.956555
-2.9938393,480,92.072718
-0.9529137,480,92.296048
-4.348193,189,93.317504
0.41920748,129,94.560986
0.86505413,480,94.726542
4.5688605,480,100.799943
-2.319937,480,100.800015
-7.673518,418,100.941137
8.421388,480,101.863338
-0.9507001,480,102.193135
-1.9638261,261,102.193211
4.0249457,480,102.530538
-4.4637113,480,102.618188
2.2243347,480,102.635768
3.2438803,141,102.918783
5.8624587,480,103.076039
-4.604286,480,103.193335
5.676528,480,103.403654
2.6185439,480,103.641015
-2.7732852,480,103.657782
0.12545267,138,104.352839
11.214744,480,104.842637
0.34256598,85,105.107402
