#{"t_start": 1750518619.9899452, "env_id": "None"}
r,l,t
-120.96871,480,250.033248
-91.80225,347,250.240228
-26.952522,85,250.937811
-105.75765,353,251.534259
-133.86351,480,251.836508
-99.525635,405,253.885626
-93.593704,480,254.091408
-114.21141,480,257.315596
-30.780539,174,258.728418
-92.13903,380,259.288674
-85.159225,480,259.661823
-85.45674,480,259.964029
-71.19799,240,260.080219
-62.354748,255,260.493387
-53.934677,246,261.069395
-62.46362,232,263.531333
-76.91833,480,263.658619
-30.926958,89,264.120027
-23.086702,140,265.822276
-82.494286,316,266.800014
-101.52545,403,274.674058
-43.9185,180,274.764084
-31.354006,141,275.781198
-70.49971,268,276.501988
-55.382885,184,277.427709
-99.820755,339,278.904381
-27.305344,167,279.942765
-98.640564,409,280.330205
-82.61543,354,280.724377
-28.54474,147,281.770682
-30.599949,173,281.817302
-72.40485,251,282.363153
-72.53268,300,282.691133
-18.942583,76,283.85088
-118.20532,466,284.998381
-36.56352,196,285.368269
-24.537893,127,285.497995
-24.280125,93,285.542316
-26.197424,99,288.951406
-72.91733,254,293.011559
-79.78695,326,293.153657
-39.298504,207,293.897145
-70.7259,299,293.897236
-74.11732,480,294.128557
-113.51974,447,294.580989
-57.259274,249,301.228952
-16.342562,63,301.313802
-84.55971,307,303.719911
-121.052635,480,304.145087
-98.13176,399,304.37554
-109.01514,378,304.997387
-25.7101,120,305.349993
-71.53133,267,305.653683
-27.798386,135,306.781594
-25.871418,176,306.908679
-18.981438,79,307.563325
-51.172832,229,309.20893
-30.520477,116,309.939882
-30.597183,169,312.412781
-58.66535,249,314.189932
-75.97552,480,318.327754
-95.32123,480,319.122569
-71.104515,292,319.340638
-90.85274,480,320.757953
-33.411747,178,321.418628
-79.06864,480,328.945439
-89.2373,480,330.156552
-93.03107,381,331.223134
-82.20888,480,331.960439
-30.280252,195,332.089201
-74.70722,480,332.089256
-20.803267,84,333.611636
-27.929707,176,334.416805
-76.90849,480,334.548102
-65.36483,246,335.200319
-80.590836,480,337.734478
-25.372908,179,338.572579
-23.087465,170,338.951188
-30.86006,175,339.287285
-42.02752,164,340.319595
-86.12449,362,341.330125
-52.631172,195,342.489446
-83.58098,364,343.803252
-81.10282,480,344.537226
-63.716858,297,356.937175
-72.39623,480,357.591006
-67.33259,286,357.882138
-57.95775,238,359.503892
-52.58475,226,359.726592
-74.97188,480,359.963297
-80.85802,300,360.701865
-77.82826,480,360.747175
-73.71049,480,363.275255
-43.269398,167,363.792859
-79.05182,480,364.067173
-83.461586,480,364.748249
-26.684454,148,365.695256
-34.614204,161,366.4519
-75.25912,480,366.820298
-28.632421,106,367.553662
-20.944683,149,369.787706
-61.90398,260,370.006694
-69.85196,261,371.241226
-58.95202,255,374.304096
-60.434525,271,381.462814
-41.374477,154,381.785094
-19.892572,129,382.245626
-40.483574,167,382.537918
-55.56801,252,382.788387
-71.47112,480,382.870351
-83.314606,480,383.157253
-59.594265,253,383.597073
-18.111513,69,384.651515
-72.89239,480,385.871609
-26.752407,138,387.877262
-30.974585,154,389.774045
-77.878654,480,390.91602
-82.14187,480,391.684358
-66.72982,285,391.726559
-29.543556,148,391.87148
-71.01888,280,392.871452
-56.630962,254,393.180509
-66.67809,279,393.869344
-19.581625,81,395.131802
-24.590565,135,397.305815
-22.65965,91,397.653795
-51.651634,239,399.62271
-31.224705,191,399.744116
-38.19401,150,401.171247
